"id","name","language","description","suscriber_count","banner","category_link"
"UCbdSYaPD-lr1kW27UJuk8Pw","QuantumFracture","","¡Ciencia! ¡y con animaciones! El lado más loco (y real) del Universo.
Escríbenos: contacto@quantumfracture.es
Síguenos en Twitter: https://twitter.com/QuantumFracture
En Facebook: https://www.facebook.com/QuantumFracture
¡Y (sí, como no) también en INSTAGRAM! https://instagram.com/quantumfracture/
También en TikTok: https://www.tiktok.com/@thequantumfracture

",3920000,"https://yt3.ggpht.com/ytc/AIdro_lJpHTSZBbl8uWZMuctVo5UG_Xj7H_haXqIZL2yDsmFkUY=s800-c-k-c0x00ffffff-no-rj","@quantumfracture"
"UC36xmz34q02JYaZYKrMwXng","Nate Gentile","","Nate Gentile es un equipo de apasionados de tecnología, diseño, modding y hardware que creamos contenido sobre informática para entretener, enseñar y aconsejar a la hora de comprar tu próximo dispositivo.
",2990000,"https://yt3.ggpht.com/bsvlD3rLbbYBhHF75p4BugJ2Z6ZcOU5flR7EY9W304sGomOcUlhipZoVg7SfhpLJV0RGatJlig=s800-c-k-c0x00ffffff-no-rj","@nategentile7"
"UCY1kMZp36IQSyNx_9h4mpCg","Mark Rober","","Former NASA engineer. Current CrunchLabs founder and friend of science.

Answers to some common questions:

1) I make a monthly toy we build together on a video, that gets delivered to your house that teaches you to think like an engineer.  Check it out at- https://crunchlabs.com
2) I studied Mechanical Engineering in School.  I did my undergrad at BYU and Masters at USC.
3) I worked for NASA JPL for 9 years, 7 of which were working on the Curiosity Rover (I made a video about it you should def totes watch cause it's probably my favorite of all my videos).  Then I made some Halloween costumes.  Then I worked for Apple in their Special Projects Group doing Product Design as a Mechanical Engineer for 5 years. Then in 2022 I created CrunchLabs to deliver monthly toys that teach you to think like an engineer.
",71700000,"https://yt3.ggpht.com/ytc/AIdro_ksXY2REjZ6gYKSgnWT5jC_zT9mX900vyFtVinR8KbHww=s800-c-k-c0x00ffffff-no-rj","@markrober"
"UCJ0-OtVpF0wOKEqT2Z1HEtA","ElectroBOOM","","Want to subconsciously learn while being entertained? Then subscribe!!  
My twitter: https://twitter.com/ElectroBOOMGuy
My Instagram: https://www.instagram.com/mehdi_sadaghdar
My Facebook: http://www.facebook.com/ElectroBOOM
My videos are also available on Odysee in the link below, in case YouTube decides to remove them. Subscribe there too:
https://odysee.com/$/invite/@ElectroBOOM:9

If you like my content and like to support your favorite creator, you can visit my page here: http://www.patreon.com/electroboom
Check my Merch and T-Shirts at: https://teespring.com/stores/electroboom

And I have some articles in my website: http://electroboom.com

See my awesome and generous sponsors here: https://www.electroboom.com/?page_id=727 
",8600000,"https://yt3.ggpht.com/ytc/AIdro_nnG7-mZVY0oCnbM1yY_pGC_uOA-AoWYlpvDI9kOW5JDFE=s800-c-k-c0x00ffffff-no-rj","@electroboom"
"UC_4NoVAkQzeSaxCgm-to25A","Dr.Gajendra Purohit","","300 Million+ Views 

Dear Students, 
This channel is dedicated to teaching Higher Mathematics for all students of  B.Tech, B.Sc, M.Sc, etc and the students appearing for exams like GATE, CSIR NET, IIT JAM, CUET, SET, PhD entrances, Engineering Mathematics & other competitive exams.

We Publish Videos on:
 📌 Conceptual Videos on B.Tech | B.Sc | M.Sc | Engineering Mathematics etc
📌 Competitive Exams like IIT JAM | GATE | CSIR NET | CUET| SET| PhD Entrances
📌 Paper Solutions, Paper Analysis, Strategy for exams like IIT JAM | GATE | CSIR NET | CUET| SET| PhD Entrances 

🔸Educator’s Profile – Dr Gajendra Purohit (GP Sir)
• Founder and CEO - Mathscare Education & Solutions Pvt Ltd
• Over 20+ years of Teaching Experience
• Top Educator For CSIR NET & IIT JAM 
• Author Of Best Selling Book For CSIR-NET and IIT JAM Mathematics
• Motivational Speaker - Has been invited to Tier 1 & 2 Universities, Colleges & Institutes such as IITs, NITs, Central Universities & Private Universities as well.


",1760000,"https://yt3.ggpht.com/jZxMN-zI0AolSc4aGHSjkU74KK_4Im2d5RDGHXqw2DbvkMnZ8dLClL0C7nSB7u-EbjJroSFvVek=s800-c-k-c0x00ffffff-no-rj","@gajendrapurohit"
"UCa6V1UVOXN4wDm7RDQDoa6g","El Traductor de Ingeniería","","
",1650000,"https://yt3.ggpht.com/VZYrLIRnUJ-fmSatbSWkqlaegg21dpGmnfTi3L5G7SXi3DhFjy9ZExOB70pUUWj4Lz8hsLj7JQ=s800-c-k-c0x00ffffff-no-rj","@eltraductor_ok"
"UCYO_jab_esuFRV4b17AJtAw","3Blue1Brown","","My name is Grant Sanderson. Videos here cover a variety of topics in math, or adjacent fields like physics and CS, all with an emphasis on visualizing the core ideas. The goal is to use animation to help elucidate and motivate otherwise tricky topics, and for difficult problems to be made simple with changes in perspective.

For more information, other projects, FAQs, and inquiries see the website: https://www.3blue1brown.com",7840000,"https://yt3.ggpht.com/ytc/AIdro_nFzZFPLxPZRHcE3SSwzdrbuWqfoWYwLAu0_2iO6blQYAU=s800-c-k-c0x00ffffff-no-rj","@3blue1brown"
"UChtpOdya2W7F0V9FrVVzQCg","A toda leche","","Canal de Youtube más ANTIGUO de ESPAÑA.... tratamos la HISTORIA y ACTUALIDAD y además te descubrimos a saco de CURIOSIDADES a toda leche! 
Te explicamos lo que pasa en el ámbito internacional de una forma SENCILLA para que te quede todo más claro. 

Los temas que vas a encontrar en el canal son:
► Historia de ESPAÑA 🇪🇸
► Historia de SUDAMÉRICA 🇲🇽 🇦🇷 🇨🇴 🇻🇪 🇵🇪 🇧🇴 🇪🇨 🇭🇳 🇺🇾 🇵🇾
🧨 Guerras
💥 Batallas
🤺 Invasiones
☠️ Asesinatos
⚠️ Actualidad
💰 Economia
🖼️ Arte
💡 Ciencia
🧠 Filosofia
🔴 Top5
🟩 Curiosidades
🤯 Biografias
y muchas cosas más... (te lo prometo 🌝)

Cada semana 1 o 2 VIDEOS NUEVOS!!!  Esta canal es la 🅻🅴🅲🅷🅴 ! 

⚠️ Todas nuestras REDES SOCIALES y la TIENDA en 1 click https://linktr.ee/atodaleche
",554000,"https://yt3.ggpht.com/aUoBfMR9a-vlCCj-rUx6KXYe64XlqQx3MDied9jh3J_sX0xq2df1FTRVTxQXdVl3-mSgiSWv=s800-c-k-c0x00ffffff-no-rj","@atodaleche"
"UCPH3Oz99Y_jrVBCQMjQZNSg","Memorias de Pez","","Aprende de forma rápida y sencilla con Memorias de Pez. Un lugar para debatir, compartir y un punto de reunión para los amantes de la historia. Suscríbete y únete a una de las comunidades de historia en habla hispana mayores de todo Youtube. Conflictos internacionales, curiosidades históricas, grandes batallas, hazañas de héroes y todo lo que necesitas para engancharte a la historia",2720000,"https://yt3.ggpht.com/ytc/AIdro_nM6wSYYyXw-uwi_URvB6vZr6rUr1uvtTghcmCnHyBa2kQ=s800-c-k-c0x00ffffff-no-rj","@memoriasdepez"
"UCxPD7bsocoAMq8Dj18kmGyQ","MoureDev by Brais Moure","","Tutoriales de programación y desarrollo de software. Aprende programación desde cero.

Hola 👋🏼 Mi nombre es Brais Moure
Soy ingeniero de software desde 2010. Actualmente trabajo como freelance fullstack y creo contenido formativo sobre programación y desarrollo en redes. 
",763000,"https://yt3.ggpht.com/aPuVOhE66m_en_vzdz5SpbytqxUd-xHyAfLyn_lIVcC88dYT85WVhdYKrbZgRz7QMXvF7Ap_4fQ=s800-c-k-c0x00ffffff-no-rj","@mouredev"
